# this file contains the average of dx^2, dy^2, and dz^2 of the particle ensemble over time
# number of particles: 2000

time,x,y,z
+1.000000e-15,+1.126487e-18,+8.626163e-19,+9.343333e-19
+2.000000e-15,+2.041800e-18,+1.526058e-18,+1.831721e-18
+3.000000e-15,+3.059455e-18,+2.224546e-18,+2.755209e-18
+4.000000e-15,+3.990359e-18,+2.709766e-18,+3.188300e-18
+5.000000e-15,+4.815572e-18,+3.254282e-18,+4.215979e-18
+6.000000e-15,+5.128281e-18,+3.660705e-18,+4.634534e-18
+7.000000e-15,+6.126155e-18,+4.170092e-18,+5.497112e-18
+8.000000e-15,+7.163613e-18,+4.666668e-18,+6.375689e-18
+9.000000e-15,+7.961078e-18,+5.041949e-18,+7.170570e-18
+1.000000e-14,+8.636002e-18,+5.852655e-18,+8.102904e-18
+1.100000e-14,+9.169910e-18,+6.390884e-18,+8.481238e-18
+1.200000e-14,+9.714123e-18,+7.292257e-18,+9.150701e-18
+1.300000e-14,+1.030525e-17,+7.839187e-18,+1.029847e-17
+1.400000e-14,+1.145963e-17,+8.561735e-18,+1.121658e-17
+1.500000e-14,+1.211650e-17,+8.872084e-18,+1.186722e-17
+1.600000e-14,+1.255988e-17,+9.315621e-18,+1.225373e-17
+1.700000e-14,+1.387784e-17,+1.001061e-17,+1.353123e-17
+1.800000e-14,+1.423094e-17,+1.024775e-17,+1.402820e-17
+1.900000e-14,+1.511374e-17,+1.057671e-17,+1.450574e-17
+2.000000e-14,+1.571385e-17,+1.108915e-17,+1.538058e-17
+2.100000e-14,+1.645315e-17,+1.161244e-17,+1.555556e-17
+2.200000e-14,+1.697230e-17,+1.171360e-17,+1.612458e-17
+2.300000e-14,+1.784352e-17,+1.203498e-17,+1.672655e-17
+2.400000e-14,+1.819250e-17,+1.254608e-17,+1.706315e-17
+2.500000e-14,+1.873845e-17,+1.305029e-17,+1.796677e-17
+2.600000e-14,+1.953226e-17,+1.355761e-17,+1.881147e-17
+2.700000e-14,+2.008494e-17,+1.373407e-17,+1.941848e-17
+2.800000e-14,+2.020400e-17,+1.439676e-17,+2.075147e-17
+2.900000e-14,+2.053456e-17,+1.452212e-17,+2.177965e-17
+3.000000e-14,+2.084713e-17,+1.491973e-17,+2.211594e-17
+3.100000e-14,+2.124377e-17,+1.532766e-17,+2.237800e-17
+3.200000e-14,+2.179809e-17,+1.578067e-17,+2.263713e-17
+3.300000e-14,+2.255181e-17,+1.613133e-17,+2.331778e-17
+3.400000e-14,+2.365913e-17,+1.645341e-17,+2.413698e-17
+3.500000e-14,+2.397321e-17,+1.668735e-17,+2.483186e-17
+3.600000e-14,+2.426939e-17,+1.738712e-17,+2.532082e-17
+3.700000e-14,+2.489761e-17,+1.762487e-17,+2.566087e-17
+3.800000e-14,+2.535239e-17,+1.788746e-17,+2.613024e-17
+3.900000e-14,+2.543676e-17,+1.856410e-17,+2.607591e-17
+4.000000e-14,+2.584524e-17,+1.899245e-17,+2.629616e-17
+4.100000e-14,+2.644414e-17,+1.929217e-17,+2.681635e-17
+4.200000e-14,+2.737223e-17,+1.980263e-17,+2.712740e-17
+4.300000e-14,+2.784138e-17,+2.004732e-17,+2.742526e-17
+4.400000e-14,+2.816090e-17,+2.029935e-17,+2.792717e-17
+4.500000e-14,+2.843350e-17,+2.028640e-17,+2.819685e-17
+4.600000e-14,+2.949733e-17,+2.051545e-17,+2.805230e-17
+4.700000e-14,+3.005332e-17,+2.083255e-17,+2.867168e-17
+4.800000e-14,+3.043408e-17,+2.103689e-17,+2.933710e-17
+4.900000e-14,+3.046721e-17,+2.108231e-17,+2.939590e-17
+5.000000e-14,+3.106613e-17,+2.162516e-17,+3.001173e-17
+5.100000e-14,+3.144328e-17,+2.208920e-17,+3.037759e-17
+5.200000e-14,+3.199248e-17,+2.247349e-17,+3.072008e-17
+5.300000e-14,+3.214197e-17,+2.286594e-17,+3.078843e-17
+5.400000e-14,+3.246796e-17,+2.332681e-17,+3.142633e-17
+5.500000e-14,+3.270075e-17,+2.359954e-17,+3.193379e-17
+5.600000e-14,+3.336303e-17,+2.368838e-17,+3.236820e-17
+5.700000e-14,+3.354546e-17,+2.424076e-17,+3.244993e-17
+5.800000e-14,+3.410539e-17,+2.443393e-17,+3.358727e-17
+5.900000e-14,+3.480250e-17,+2.497134e-17,+3.377300e-17
+6.000000e-14,+3.525625e-17,+2.526498e-17,+3.422073e-17
+6.100000e-14,+3.599873e-17,+2.563095e-17,+3.427905e-17
+6.200000e-14,+3.626856e-17,+2.577108e-17,+3.428086e-17
+6.300000e-14,+3.701389e-17,+2.580519e-17,+3.472015e-17
+6.400000e-14,+3.776436e-17,+2.613355e-17,+3.531354e-17
+6.500000e-14,+3.868002e-17,+2.671244e-17,+3.575452e-17
+6.600000e-14,+3.886345e-17,+2.700662e-17,+3.633255e-17
+6.700000e-14,+3.972103e-17,+2.748834e-17,+3.686425e-17
+6.800000e-14,+3.996190e-17,+2.797524e-17,+3.782628e-17
+6.900000e-14,+4.000065e-17,+2.806721e-17,+3.793904e-17
+7.000000e-14,+4.016162e-17,+2.830483e-17,+3.950671e-17
+7.100000e-14,+4.046887e-17,+2.842379e-17,+4.013119e-17
+7.200000e-14,+4.064218e-17,+2.905986e-17,+4.068673e-17
+7.300000e-14,+4.098354e-17,+2.904806e-17,+4.121383e-17
+7.400000e-14,+4.166671e-17,+2.955931e-17,+4.215364e-17
+7.500000e-14,+4.233385e-17,+2.985312e-17,+4.203735e-17
+7.600000e-14,+4.250444e-17,+3.024434e-17,+4.228589e-17
+7.700000e-14,+4.299869e-17,+3.086630e-17,+4.251067e-17
+7.800000e-14,+4.281474e-17,+3.106061e-17,+4.239684e-17
+7.900000e-14,+4.311490e-17,+3.101623e-17,+4.331665e-17
+8.000000e-14,+4.350133e-17,+3.108501e-17,+4.464780e-17
+8.100000e-14,+4.408006e-17,+3.142495e-17,+4.541609e-17
+8.200000e-14,+4.416666e-17,+3.146791e-17,+4.585480e-17
+8.300000e-14,+4.439363e-17,+3.187242e-17,+4.603837e-17
+8.400000e-14,+4.465281e-17,+3.213228e-17,+4.626432e-17
+8.500000e-14,+4.521457e-17,+3.227733e-17,+4.663557e-17
+8.600000e-14,+4.512396e-17,+3.243383e-17,+4.701920e-17
+8.700000e-14,+4.511317e-17,+3.284651e-17,+4.692999e-17
+8.800000e-14,+4.539832e-17,+3.379159e-17,+4.698256e-17
+8.900000e-14,+4.654144e-17,+3.405575e-17,+4.734894e-17
+9.000000e-14,+4.726210e-17,+3.462153e-17,+4.818207e-17
+9.100000e-14,+4.750131e-17,+3.463681e-17,+4.894779e-17
+9.200000e-14,+4.940632e-17,+3.506948e-17,+4.959720e-17
+9.300000e-14,+5.057542e-17,+3.539640e-17,+5.019984e-17
+9.400000e-14,+5.102744e-17,+3.536681e-17,+5.072849e-17
+9.500000e-14,+5.214253e-17,+3.555266e-17,+5.093050e-17
+9.600000e-14,+5.234939e-17,+3.567500e-17,+5.110681e-17
+9.700000e-14,+5.290636e-17,+3.578085e-17,+5.154456e-17
+9.800000e-14,+5.363868e-17,+3.588107e-17,+5.233886e-17
+9.900000e-14,+5.433108e-17,+3.604173e-17,+5.270628e-17
+1.000000e-13,+5.487035e-17,+3.637233e-17,+5.347385e-17
+1.010000e-13,+5.575216e-17,+3.670227e-17,+5.350591e-17
+1.020000e-13,+5.611516e-17,+3.693474e-17,+5.375774e-17
+1.030000e-13,+5.660128e-17,+3.696001e-17,+5.422807e-17
+1.040000e-13,+5.708902e-17,+3.734687e-17,+5.440279e-17
+1.050000e-13,+5.713570e-17,+3.747185e-17,+5.489214e-17
+1.060000e-13,+5.753403e-17,+3.797369e-17,+5.576540e-17
+1.070000e-13,+5.730326e-17,+3.849135e-17,+5.543638e-17
+1.080000e-13,+5.778003e-17,+3.873680e-17,+5.593151e-17
+1.090000e-13,+5.853986e-17,+3.925625e-17,+5.667387e-17
+1.100000e-13,+5.942448e-17,+3.990022e-17,+5.749795e-17
+1.110000e-13,+6.009261e-17,+4.045663e-17,+5.885628e-17
+1.120000e-13,+6.048595e-17,+4.088912e-17,+5.898536e-17
+1.130000e-13,+6.121525e-17,+4.099454e-17,+5.896828e-17
+1.140000e-13,+6.205401e-17,+4.141793e-17,+5.929054e-17
+1.150000e-13,+6.232167e-17,+4.165427e-17,+5.924725e-17
+1.160000e-13,+6.329920e-17,+4.153697e-17,+5.954821e-17
+1.170000e-13,+6.415849e-17,+4.159647e-17,+6.077664e-17
+1.180000e-13,+6.520815e-17,+4.186946e-17,+6.112061e-17
+1.190000e-13,+6.497371e-17,+4.205006e-17,+6.150185e-17
+1.200000e-13,+6.533623e-17,+4.205329e-17,+6.117184e-17
+1.210000e-13,+6.591432e-17,+4.245491e-17,+6.183626e-17
+1.220000e-13,+6.617782e-17,+4.283883e-17,+6.283472e-17
+1.230000e-13,+6.724253e-17,+4.331856e-17,+6.377667e-17
+1.240000e-13,+6.798237e-17,+4.401168e-17,+6.409519e-17
+1.250000e-13,+6.847201e-17,+4.452877e-17,+6.502043e-17
+1.260000e-13,+6.901370e-17,+4.473797e-17,+6.490759e-17
+1.270000e-13,+6.906898e-17,+4.525186e-17,+6.527575e-17
+1.280000e-13,+6.964633e-17,+4.561912e-17,+6.624904e-17
+1.290000e-13,+7.050047e-17,+4.562356e-17,+6.644606e-17
+1.300000e-13,+7.022306e-17,+4.598750e-17,+6.676610e-17
+1.310000e-13,+6.999123e-17,+4.617927e-17,+6.718642e-17
+1.320000e-13,+7.046782e-17,+4.695830e-17,+6.818107e-17
+1.330000e-13,+7.066878e-17,+4.706860e-17,+6.843203e-17
+1.340000e-13,+7.170648e-17,+4.720690e-17,+6.868115e-17
+1.350000e-13,+7.267188e-17,+4.749497e-17,+6.830811e-17
+1.360000e-13,+7.288231e-17,+4.750081e-17,+6.927239e-17
+1.370000e-13,+7.367332e-17,+4.755722e-17,+6.969554e-17
+1.380000e-13,+7.455513e-17,+4.790600e-17,+7.023397e-17
+1.390000e-13,+7.457841e-17,+4.809668e-17,+7.046403e-17
+1.400000e-13,+7.493023e-17,+4.864044e-17,+7.047085e-17
+1.410000e-13,+7.528705e-17,+4.905523e-17,+7.057608e-17
+1.420000e-13,+7.568546e-17,+4.980266e-17,+7.065372e-17
+1.430000e-13,+7.640039e-17,+4.966112e-17,+7.093891e-17
+1.440000e-13,+7.726112e-17,+5.057565e-17,+7.205442e-17
+1.450000e-13,+7.751487e-17,+5.057360e-17,+7.233283e-17
+1.460000e-13,+7.863801e-17,+5.101460e-17,+7.193299e-17
+1.470000e-13,+7.819966e-17,+5.093025e-17,+7.272622e-17
+1.480000e-13,+7.907720e-17,+5.122814e-17,+7.406908e-17
+1.490000e-13,+7.877733e-17,+5.131182e-17,+7.430397e-17
+1.500000e-13,+7.977496e-17,+5.138226e-17,+7.433095e-17
+1.510000e-13,+8.105108e-17,+5.160518e-17,+7.443963e-17
+1.520000e-13,+8.148061e-17,+5.226735e-17,+7.432756e-17
+1.530000e-13,+8.370296e-17,+5.264887e-17,+7.611454e-17
+1.540000e-13,+8.453275e-17,+5.249528e-17,+7.626288e-17
+1.550000e-13,+8.489196e-17,+5.255165e-17,+7.646595e-17
+1.560000e-13,+8.528271e-17,+5.261135e-17,+7.746412e-17
+1.570000e-13,+8.604016e-17,+5.320914e-17,+7.751903e-17
+1.580000e-13,+8.712073e-17,+5.314055e-17,+7.769077e-17
+1.590000e-13,+8.751909e-17,+5.304715e-17,+7.829880e-17
