position,distribution,population,density
5.000392e-09,5.405209e-02,207081,5.177204e+24
1.500025e-08,1.284772e-01,492214,1.230578e+25
2.500010e-08,1.209784e-01,463485,1.158758e+25
3.499995e-08,9.677673e-02,370765,9.269493e+24
4.499981e-08,9.620066e-02,368558,9.214315e+24
5.499966e-08,9.513257e-02,364466,9.112057e+24
6.499951e-08,1.013840e-01,388416,9.710785e+24
7.499937e-08,1.018368e-01,390151,9.754113e+24
8.499922e-08,1.011872e-01,387662,9.692128e+24
9.499907e-08,1.039743e-01,398340,9.958895e+24
